Date,Open,High,Low,Close,AdjClose,Volume
24-08-2018,1035.5,1046.800049,1033.025024,1034.925049,1021.825928,4857314.0
27-08-2018,1038.5,1044.25,1035.125,1040.224976,1027.058838,6287394.0
28-08-2018,1044.0,1049.125,1039.400024,1047.425049,1034.167725,4986766.0
29-08-2018,1046.074951,1047.025024,1036.375,1039.25,1026.096191,4936846.0
30-08-2018,1041.800049,1043.949951,1030.925049,1033.050049,1019.97467,10913730.0
31-08-2018,1034.599976,1039.375,1029.125,1030.599976,1017.555603,7885750.0
03-09-2018,1034.699951,1039.474976,1031.75,1037.525024,1024.392944,3830804.0
04-09-2018,1038.449951,1038.974976,1024.5,1025.900024,1012.915161,3565268.0
05-09-2018,1026.900024,1030.099976,1017.775024,1022.924988,1009.977722,2820754.0
06-09-2018,1024.5,1029.5,1016.299988,1026.099976,1013.112549,5201206.0
07-09-2018,1025.5,1030.0,1020.375,1028.474976,1015.45752,2959650.0
10-09-2018,1027.5,1027.5,1012.549988,1020.575012,1007.657532,4299296.0
11-09-2018,1023.150024,1024.0,997.075012,1000.200012,987.540405,9093268.0
12-09-2018,1000.950012,1010.674988,994.775024,1005.924988,993.192871,6123004.0
14-09-2018,1009.924988,1018.700012,1009.474976,1014.799988,1001.955627,5167336.0
17-09-2018,1010.650024,1011.474976,994.0,996.099976,983.492249,4669110.0
18-09-2018,997.450012,1004.924988,990.474976,994.599976,982.011292,4662868.0
19-09-2018,997.424988,999.0,978.25,980.674988,968.262512,8356132.0
21-09-2018,986.950012,999.924988,955.099976,985.125,972.656189,11305074.0
24-09-2018,983.625,986.099976,957.5,962.849976,950.663086,6695396.0
25-09-2018,962.849976,981.0,957.5,976.200012,963.844177,8341276.0
26-09-2018,981.474976,989.0,977.650024,984.099976,971.644104,7363362.0
27-09-2018,984.700012,993.0,977.575012,988.075012,975.568848,9176104.0
28-09-2018,990.325012,1007.724976,988.575012,1003.025024,990.329651,7230358.0
01-10-2018,1004.900024,1021.0,998.900024,1017.724976,1004.843567,6224794.0
